Name,Number,Address,Dissolved On,Company Type,Incorporated On,Nature of Business
UK ORICA LTD,07077202,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,16 November 2009,99999 - Dormant Company
"SHANGHAI DOTO IMPORT & EXPORT CO., LTD",08251669,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 October 2012,99999 - Dormant Company
"SHOPRITE IMPORT & EXPORT CO., LTD",07045828,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,22 March 2016,Private limited Company,16 October 2009,99999 - Dormant Company
"FAITHMAX CONSTRUCTION TRADING CO., LTD",07047194,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,16 October 2009,99999 - Dormant Company
EASTAR METAL PRODUCTS GROUP LTD,07826068,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,22 March 2016,Private limited Company,27 October 2011,99999 - Dormant Company
DOCHI INTERNATIONAL LIMITED,07854406,"326 Cleveland Road, London, E18 2AN",Dissolved,23 June 2015,Private limited Company,21 November 2011,99999 - Dormant Company
"GRAND FULL HAPPINESS INDUSTRIES (NIG.)CO., LIMITED",06343746,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,17 January 2017,Private limited Company,15 August 2007,99999 - Dormant Company
"LEGON CO., LIMITED",08224147,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,26 January 2016,Private limited Company,21 September 2012,99999 - Dormant Company
SONNENBERG GROUP LIMITED,07055312,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,23 October 2009,99999 - Dormant Company
"GREAT WIN INDUSTRY CO., LTD",08287507,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,9 November 2012,99999 - Dormant Company
"FASHION GIFTS CO., LTD",07804083,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,10 October 2011,99999 - Dormant Company
"PLA MOULD PLASTIC CO., LTD",07892663,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,28 December 2011,99999 - Dormant Company
GEMHOME FURNISHING LIMITED,07844442,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,11 November 2011,99999 - Dormant Company
HANNOSTAR TRADE GROUP LTD,07885672,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,19 December 2011,99999 - Dormant Company
"C&H INTERNATIONAL CO., LTD",08284237,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,7 November 2012,99999 - Dormant Company
UNICORN BROTHERS (U.K.) LIMITED,07085426,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,24 November 2009,99999 - Dormant Company
"SHANDONG JUYE JUGONG HOSE INDUSTRY CO., LTD",07854378,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,22 March 2016,Private limited Company,21 November 2011,99999 - Dormant Company
FIRST PACIFIC TRADING LIMITED,06710436,"Chase Business Centre, 39/41 Chase Side, London, England, N14 5BP",Active,Private limited Company,29 September 2008,99999 - Dormant Company
"WELDOM INDUSTRY CO., LIMITED",07452626,"Chse Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,5 April 2016,Private limited Company,26 November 2010,99999 - Dormant Company
"NINGBO XIANGCHENG INTERNATIONAL FREIGHT CO., LTD",08246232,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Dissolved,28 April 2015,Private limited Company,9 October 2012,99999 - Dormant Company
PERFECT SPREAD LIMITED,08271683,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Dissolved,26 May 2015,Private limited Company,29 October 2012,99999 - Dormant Company
A.L.E.S. TRADE COMPANY LIMITED,07834068,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,3 November 2011,99999 - Dormant Company
JOIE DE VIVRE INT'L LIMITED,06433836,"Chase Business Centre Chd, 39-41 Chase Side, London, N14 5BP",Dissolved,4 February 2014,Private limited Company,21 November 2007,99999 - Dormant Company
"TIANJIN YUEXUAN STEEL CO., LTD",07881854,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Dissolved,24 June 2014,Private limited Company,14 December 2011,99999 - Dormant Company
"OPTIMUM-S IMPORT AND EXPORT CO., LTD",07817890,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,20 October 2011,99999 - Dormant Company
GREAT WALL CAPITAL ADVISORS LIMITED,07047890,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,17 October 2009,99999 - Dormant Company
"HAIAO WIRE MESH PRODUCTS CO., LTD",08256869,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,17 October 2012,99999 - Dormant Company
APSENSE LTD,07859430,"75 Westmoreland Avenue, Welling, London, DA16 2QB",Active,Private limited Company,24 November 2011,99999 - Dormant Company
"FOCUS INDUSTRIAL CO., LTD.",08260561,"Suite 108 Cahse Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,16 August 2016,Private limited Company,19 October 2012,99999 - Dormant Company
"EOS BIOTECH CO., LTD",07892709,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,28 December 2011,99999 - Dormant Company
MAXDOING INTERNATIONAL LIMITED,07011313,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,7 September 2009,99999 - Dormant Company
"EIFFEL INTERNATIONAL INDUSTRY CO., LTD",07894271,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,30 December 2011,99999 - Dormant Company
RAYMOND MACHINE COMPANY LIMITED,07894097,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,30 December 2011,99999 - Dormant Company
EVERBOOM INDUSTRY LTD,07868891,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,2 December 2011,99999 - Dormant Company
"KANGLI STONE CO., LTD.",08231573,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,27 September 2012,99999 - Dormant Company
"SKYVEE INTERNATIONAL CO., LTD",07846325,"Cahse Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,14 November 2011,99999 - Dormant Company
"ANNE INVEST CO., LIMITED",07007135,"9 Pantygraigwen Road, Pontypridd, Mid Glamorgan, CF37 2RR",Active,Private limited Company,2 September 2009,99999 - Dormant Company
C-ONE YA.NO. LTD,07809038,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,13 October 2011,99999 - Dormant Company
"GREEN INDUSTRY INTERNATIONAL CO., LTD",08289025,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,26 May 2015,Private limited Company,12 November 2012,99999 - Dormant Company
"SUPEREAL INDUSTRIAL CO., LIMITED",07862547,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Dissolved,24 June 2014,Private limited Company,28 November 2011,99999 - Dormant Company
"PHOTONIC BRIDGE CO., LTD.",07832076,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,16 June 2015,Private limited Company,2 November 2011,99999 - Dormant Company
"WANJIA FOOD STUFF CO., LTD",08273511,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,30 October 2012,99999 - Dormant Company
JNIOR FASHION (UK) LTD,08269870,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,7 February 2017,Private limited Company,26 October 2012,99999 - Dormant Company
"SHANGHAI ELECTRIC GROUP COMPLETE EQUIPMENT CO., LTD",07842475,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,10 November 2011,99999 - Dormant Company
WIDESPREAD ELECTRICAL ISOLATION LIMITED,08244456,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Dissolved,5 May 2015,Private limited Company,8 October 2012,99999 - Dormant Company
INTOUCH MARKETING COOPERATION LIMITED,08292952,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,14 November 2012,99999 - Dormant Company
"HIGHBORN INTERNATIONAL CO., LTD",08251738,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,12 October 2012,99999 - Dormant Company
NKNOWS (CANADA) LANDSCAPE & PLANNING DESIGN LTD,08255598,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,9 February 2016,Private limited Company,16 October 2012,99999 - Dormant Company
"HALI INDUSTRIAL CO., LTD",07887700,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,20 December 2011,99999 - Dormant Company
NEWMARK INTERNATIONAL INDUSTRY LIMITED,07874757,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,8 December 2011,99999 - Dormant Company
"ASEN OFFICE CONSUMABLES (ZHUHAI) CO., LIMITED",08247736,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,22 March 2016,Private limited Company,10 October 2012,99999 - Dormant Company
"JIANGSU TOP PUMP MANUFACTURE CO., LTD",06781067,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,30 December 2008,99999 - Dormant Company
COMPONENT ELECTRON GROUP LIMITED,07058370,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,27 October 2009,99999 - Dormant Company
"EASY LINK INTERNATIONAL GROUP CO., LTD.",08266679,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,24 October 2012,99999 - Dormant Company
UK SCHAZ INTERNATIONAL GROUP (SHANG HAI) LIMITED,07792045,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Dissolved,13 May 2014,Private limited Company,29 September 2011,99999 - Dormant Company
STRONG CROWN TRADING LIMITED,08275015,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,31 October 2012,99999 - Dormant Company
"PS (UK) CO., LTD",07814285,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,18 October 2011,99999 - Dormant Company
PHOENIX RACING PARTS LTD,07837756,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,7 November 2011,99999 - Dormant Company
"FANCO SYSTEMS CO., LTD",07893241,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,29 December 2011,99999 - Dormant Company
"MANOA INFORMATION CO., LTD",06781176,"326 Cleveland Road, London, E18 2AN",Dissolved,2 August 2016,Private limited Company,30 December 2008,99999 - Dormant Company
"HANZI INDUSTRIAL INTERNATIONAL CO., LTD",07894408,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,30 December 2011,99999 - Dormant Company
UK LIFENG INT'L LIMITED,07866406,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,26 April 2016,Private limited Company,30 November 2011,99999 - Dormant Company
"ATTITUDE PROGRESS CO., LTD.",07837831,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,7 November 2011,99999 - Dormant Company
"YUZHENG VALVE PIPE-FITTING CO., LTD",07867709,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,1 December 2011,99999 - Dormant Company
ATIVO INTERNATIONAL (UK) LTD.,07441512,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,16 November 2010,99999 - Dormant Company
BTOB INTERNATIONAL LIMITED,05271275,"35 Ivor Place, Lower Ground, London, England, NW1 6EA",Active,Private limited Company,27 October 2004,99999 - Dormant Company
LYENS CORPORATION (ASIA) LIMITED,07848352,"9 Pantygraigwen Road, Pontypridd, Mid Glamorgan, CF37 2RR",Dissolved,23 June 2015,Private limited Company,15 November 2011,99999 - Dormant Company
"MAO YUAN HANG TRADING CO., LTD.",06932247,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 June 2009,99999 - Dormant Company
"JINTONG RUBBER CO., LTD",07854362,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,21 November 2011,99999 - Dormant Company
RESOLAR CONSULTING CORPORATION LTD.,07449857,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,14 February 2017,Private limited Company,24 November 2010,99999 - Dormant Company
"PACIFIC HANA INTERNATIONAL CO., LTD",07828026,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,16 June 2015,Private limited Company,28 October 2011,99999 - Dormant Company
"DANDO CHEMICALS CO., LTD",06754587,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,20 November 2008,99999 - Dormant Company
"LIFE INDUSTRIAL PUMP MANUFACTURE CO., LTD",07889321,"326 Cleveland Road, London, E18 2AN",Dissolved,4 August 2015,Private limited Company,21 December 2011,99999 - Dormant Company
HHHY TECHNOLOGY LTD,07859477,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",Dissolved,8 July 2014,Private limited Company,24 November 2011,99999 - Dormant Company
REDIA INDUSTRY LIMITED,08000064,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,21 March 2012,99999 - Dormant Company
TZYY SHAN'S LIMITED,06741911,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,5 November 2008,74990 - Non-trading company
UK SMART TRADING LIMITED,07072020,"Chase Business Centre - Chd, 39-41 Chase Side, London, N14 5BP",Dissolved,24 June 2014,Private limited Company,11 November 2009,99999 - Dormant Company
NILE HONGKONG LIMITED,07846264,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,14 November 2011,99999 - Dormant Company
HISON AUTO TECH LTD,08298389,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,23 June 2015,Private limited Company,19 November 2012,99999 - Dormant Company
"JSINCERE TRADING CO., LTD",07063566,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,2 November 2009,99999 - Dormant Company
"SHENZHEN CHENXIN ELECTRON CO., LTD",07869061,"Rm 101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,2 December 2011,99999 - Dormant Company
"GREAT RIVER INTERNATIONAL GROUP CO., LTD",08297690,"326 Cleveland Road, London, E18 2AN",Dissolved,23 June 2015,Private limited Company,19 November 2012,74990 - Non-trading company
ELITE INTERNATIONAL GROUP LIMITED,06475778,"Flat 107 25 Indescon Square, London, E14 9DG",Active,Private limited Company,17 January 2008,99999 - Dormant Company
SAN ARCHITECTURE CONSULTANT PTY LTD,07341633,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Dissolved,26 April 2016,Private limited Company,10 August 2010,74990 - Non-trading company
NINGBO ELLIOTT INDUSTRY LIMITED,07872528,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,10 May 2016,Private limited Company,6 December 2011,99999 - Dormant Company
WUXI OILFIELD PIPE COMPANY LIMITED,07839172,"Chase Business Centre-Chd, 39-41 Chase Side, London, N14 5BP",Dissolved,24 June 2014,Private limited Company,8 November 2011,99999 - Dormant Company
"SENSEACXIN INTERNATIONAL CO., LTD",08306640,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,26 November 2012,99999 - Dormant Company
TOPSUN ENTERPRISE GROUP LIMITED,07868174,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Dissolved,15 July 2014,Private limited Company,2 December 2011,99999 - Dormant Company
"SHENZHEN PROMOTION-UNION ELECTRONIC CO., LTD",07867250,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,1 December 2011,99999 - Dormant Company
HEDDA TECHNOLOGY (U.K.) LIMITED,08312536,"4th Floor, 1 Knightrider Court, London, EC4V 5BJ",Active,Private limited Company,29 November 2012,99999 - Dormant Company
TAURUS INTERATIONAL TECHNOLOGY LIMITED,07867125,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,1 December 2011,99999 - Dormant Company
"PLASTICOS RIMAX CO., LTD",08308799,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,27 November 2012,99999 - Dormant Company
GREEN-CASCADE INDUSTRY LTD,07831268,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,19 April 2016,Private limited Company,1 November 2011,99999 - Dormant Company
"STANDARD TRADING CO., LIMITED",07878619,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 December 2011,99999 - Dormant Company
"ZHEJIANG TUOXIN MACHINERY CO., LTD.",08298281,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,19 November 2012,99999 - Dormant Company
LONGEAR PACKAGING LIMITED,07885819,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,19 December 2011,99999 - Dormant Company
ORIENT ENERGY INDUSTRIAL LIMITED,07493310,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,14 January 2011,99999 - Dormant Company
"FOSHAN HAIYIJIA BUILDING MATERIAL CO., LTD",08320848,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,7 July 2015,Private limited Company,6 December 2012,99999 - Dormant Company
SC ENERGY DEVELOPMENT LIMITED,07867922,"Chase Busienss Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,1 December 2011,99999 - Dormant Company
"MILKYWAY CO., LTD",08296383,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,16 November 2012,99999 - Dormant Company
"SINOTEX CO., LIMITED",08313866,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,14 July 2015,Private limited Company,30 November 2012,99999 - Dormant Company
A SUPPLY COMPANY LTD,07106333,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,16 December 2009,99999 - Dormant Company
"MIMAS CO., LIMITED",07910868,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,16 January 2012,99999 - Dormant Company
"NEOFONIE INTERNATIONAL CO., LTD",07373561,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,13 September 2010,99999 - Dormant Company
"YITISI CO., LTD",08322492,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,7 December 2012,99999 - Dormant Company
"DAC LABORATORIES CO., LTD",07878550,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,12 December 2011,99999 - Dormant Company
UK HUIFENG INDUSTRY INTERNATIONAL INVEST GROUP LIMITED,06437173,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,2 August 2016,Private limited Company,26 November 2007,99999 - Dormant Company
"IMIN INDUSTRIAL CO., LTD",07902203,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,9 January 2012,99999 - Dormant Company
BAW MEDTECH INDUSTRY LIMITED,06773534,"8 Standard Road, London, NW10 6EU",Dissolved,17 January 2017,Private limited Company,15 December 2008,74990 - Non-trading company
KANAINFO LIMITED,07221575,"Chse Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,24 November 2015,Private limited Company,13 April 2010,99999 - Dormant Company
"MENGSHI CO., LTD",07078703,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,17 November 2009,99999 - Dormant Company
NASSLI LIGHTING LTD,07879986,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,5 April 2016,Private limited Company,13 December 2011,99999 - Dormant Company
"IT HAIR&COSMETICS CO., LTD",07938080,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,4 August 2015,Private limited Company,6 February 2012,99999 - Dormant Company
BLANCPAIN LTD,07857874,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,16 June 2015,Private limited Company,23 November 2011,99999 - Dormant Company
"SUKINO INTERNATIONAL CO., LTD",07835752,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,4 November 2011,99999 - Dormant Company
YANXING GROUP LIMITED,07875731,"Rm 101, Maple House 118 High Street, Purley, London, CR8 2AD",Active,Private limited Company,8 December 2011,99999 - Dormant Company
BLUECOMM ALLIANCE LTD.,07846307,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,14 November 2011,99999 - Dormant Company
ALVIN MOORE LTD,07799855,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Dissolved,26 March 2013,Private limited Company,6 October 2011,99999 - Dormant Company
"ZHEJIANG SUCCEED AUTO PARTS CO., LTD.",07867148,"Chase Business Centre-Chd, 39-41 Chase Side, London, N14 5BP",Dissolved,24 June 2014,Private limited Company,1 December 2011,99999 - Dormant Company
DING TAI INTERNATIONAL DEVELOPMENT LIMITED,08303458,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,22 November 2012,99999 - Dormant Company
"KUC (UK) CO., LTD",07865800,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Dissolved,15 July 2014,Private limited Company,30 November 2011,99999 - Dormant Company
REEBLUE INTERNATIONAL LIMITED,08304351,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,22 November 2012,74990 - Non-trading company
"SHANGHAI MINGDA GLASSWARE MANUFACTURER CO., LIMITED",06770254,"Chase Business Centre-Chd, 39-41 Chase Side, London, N14 5BP",Dissolved,8 July 2014,Private limited Company,10 December 2008,99999 - Dormant Company
TIANYUE INTERNATIONAL TRANSPORTATION AGENCY LIMITED,08319702,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,5 December 2012,99999 - Dormant Company
"HUANTAI SOCIAL WELFARE NEW BUILDING MATERIAL PLANT CO., LTD",08309385,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,27 November 2012,99999 - Dormant Company
"UK LEAFKING INTERNATIONAL CO., LTD",08330254,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,13 December 2012,74990 - Non-trading company
"K-RELIANCE TRADING CO., LTD",07888912,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,21 December 2011,99999 - Dormant Company
GLOBAL USA OPTRONICS LIMITED,07928701,"326 Cleveland Road, London, E18 2AN",Dissolved,28 June 2016,Private limited Company,30 January 2012,99999 - Dormant Company
"NORTH HIGH TECH CO., LTD",08319643,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,5 December 2012,74990 - Non-trading company
WINMOULDING LIMITED,07892746,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,28 December 2011,99999 - Dormant Company
GREEN VITA BIOTECH LIMITED,07893115,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,23 June 2015,Private limited Company,28 December 2011,99999 - Dormant Company
HORIZON AUTO TOOL LIMITED,07885785,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,19 December 2011,99999 - Dormant Company
"SHANGHAI GOLDEN BILLION TRADING CO., LIMITED",08331247,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,14 December 2012,99999 - Dormant Company
"RUNFAR CO., LTD.",08324254,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,10 December 2012,99999 - Dormant Company
LAI ER LTD,08333205,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,17 December 2012,99999 - Dormant Company
"UK BYLAND ART INVESTMENT (GROUP) CO., LTD",08323790,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,10 December 2012,99999 - Dormant Company
ENZER COMPONENTS LIMITED,08331353,"23 Lakeswood Road, Petts Wood, Orpington, London, BR5 1BJ",Dissolved,4 August 2015,Private limited Company,14 December 2012,99999 - Dormant Company
"LANBLE ELECTRIC GROUP  CO., LTD",07094048,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,3 December 2009,99999 - Dormant Company
"FEDA  INDUSTRIAL AND TRADING CO., LIMITED",07129780,"Chase Business Centre-Chd, 39-41 Chase Side, London, N14 5BP",Dissolved,28 July 2015,Private limited Company,19 January 2010,99999 - Dormant Company
"HANGZHOU CONCORD INTERNATIONAL TRADE CO., LTD",08331515,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,14 December 2012,74990 - Non-trading company
"JNL INDUSTRIAL CO., LTD.",08326222,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,11 December 2012,99999 - Dormant Company
"DONGFAN CHEMICAL CO., LTD",08333007,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,26 April 2016,Private limited Company,17 December 2012,99999 - Dormant Company
"TAYFORD INDUSTRIAL CO., LTD.",06031825,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,18 December 2006,99999 - Dormant Company
"JIMEI INDUSTRY CO., LTD",08331258,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,14 December 2012,74990 - Non-trading company
"LINYI POLAND BUILDING MATERIALS CO., LTD",08333207,"Suite 108 Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Active,Private limited Company,17 December 2012,99999 - Dormant Company
DORORHY PET FOOD (UK) LTD.,07889189,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,21 December 2011,99999 - Dormant Company
CHINA BOCA GROUP CORPORATION LIMITED,07135056,"Churchill House, 142-146 Old Street, London, EC1V 9BW",Active,Private limited Company,25 January 2010,99999 - Dormant Company
"SHANGHAI ZHENGFA BEARING CO., LTD",08341640,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,7 July 2015,Private limited Company,27 December 2012,99999 - Dormant Company
"HAOTIAN CLEANING EQUIPMENT TECHNOLOGY CO., LTD.",08334496,"Rm101, Maple House 118 High Street, Purley, London, United Kingdom, CR8 2AD",Active,Private limited Company,18 December 2012,99999 - Dormant Company
"ANNA DESIGN KOREA CO., LTD",07849502,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Dissolved,24 May 2016,Private limited Company,16 November 2011,99999 - Dormant Company
"MOTOMIR CO., LTD",08334516,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,18 December 2012,99999 - Dormant Company
UK H&D DESIGN SERVICES LTD,07104555,"75 Westmoreland Avenue, Welling, London, DA16 2QB",Active,Private limited Company,15 December 2009,99999 - Dormant Company
"YIWU YONGJIA INDUSTRIAL CO., LTD",08341682,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,27 December 2012,99999 - Dormant Company
AIRWICK LIMITED,07880006,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Dissolved,29 July 2014,Private limited Company,13 December 2011,99999 - Dormant Company
SHINY WORLD LTD,07870819,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,5 December 2011,99999 - Dormant Company
BAER SELECT MANAGEMENT LIMITED,07842024,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",Dissolved,24 June 2014,Private limited Company,10 November 2011,99999 - Dormant Company
DEBRO PET FOOD (UK) LTD.,07889281,"Chase Business Centre, 39-41 Chase Side, London, N14 5BP",Active,Private limited Company,21 December 2011,99999 - Dormant Company
